0.003704, 0.148148, 50
0.017238, 0.270681, 50
0.039814, 0.451530, 50
0.071463, 0.632973, 50
0.112225, 0.815251, 50
0.162156, 0.998603, 50
0.221319, 1.183267, 50
0.289793, 1.369481, 50
0.367666, 1.557467, 50
0.455038, 1.747435, 50
0.552016, 1.939562, 50
0.658715, 2.133977, 50
0.775252, 2.330740, 50
0.901743, 2.529811, 50
1.038293, 2.731008, 50
1.184991, 2.933970, 50
1.341896, 3.138100, 50
1.509023, 3.342525, 50
1.686325, 3.546056, 50
1.873684, 3.747174, 50
2.070887, 3.944062, 50
2.277621, 4.134681, 50
2.493467, 4.316917, 50
2.717906, 4.488775, 50
2.950336, 4.648606, 50
3.190102, 4.795313, 50
3.436527, 4.928498, 50
3.684395, 4.957358, 50
3.928808, 4.888263, 50
4.169656, 4.816967, 50
4.406920, 4.745277, 50
4.640648, 4.674557, 50
4.870936, 4.605754, 50
5.097908, 4.539454, 50
5.321706, 4.475951, 50
5.542472, 4.415319, 50
5.760345, 4.357465, 50
5.975454, 4.302185, 50
6.187914, 4.249199, 50
6.397823, 4.198175, 50
6.605261, 4.148754, 50
6.810289, 4.100557, 50
7.012948, 4.053197, 50
7.213263, 4.006283, 50
7.411233, 3.959419, 50
7.606844, 3.912213, 50
7.800058, 3.864271, 50
7.990818, 3.815205, 50
8.179050, 3.764633, 50
8.364659, 3.712187, 50
8.547535, 3.657529, 50
8.727553, 3.600359, 50
8.904576, 3.540450, 50
9.078460, 3.477674, 50
9.249062, 3.412054, 50
9.416253, 3.343819, 50
9.579927, 3.273467, 50
9.740019, 3.201843, 50
9.896529, 3.130196, 50
10.049539, 3.060219, 50
10.197232, 2.953848, 50
10.337337, 2.802105, 50
10.469781, 2.648879, 50
10.595230, 2.508970, 50
10.714302, 2.381457, 50
10.827543, 2.264819, 50
10.935400, 2.157129, 50
11.038214, 2.056280, 50
11.136224, 1.960195, 50
11.229573, 1.866984, 50
11.318325, 1.775041, 50
11.402479, 1.683089, 50
11.481988, 1.590170, 50
11.556769, 1.495619, 50
11.626720, 1.399016, 50
11.691726, 1.300135, 50
11.751671, 1.198903, 50
11.806439, 1.095356, 50
11.855920, 0.989608, 50
11.900011, 0.881825, 50
11.938621, 0.772210, 50
11.971671, 0.660983, 50
11.999090, 0.548379, 50
12.020821, 0.434635, 50
12.036821, 0.319992, 50
12.047055, 0.204691, 50
12.051504, 0.088969, 50
12.052280, 0.015515, 50
12.052280, 0.000000, 50
